entry_time_cst,exit_time_cst,symbol,direction,entry_price,exit_price,quantity,pnl_usdt,outcome,duration_minutes
2026-05-04 15:17:54 CST,2026-05-05 01:06:37 CST,SKYAIUSDT,LONG,0.68059,0.54344,11.0,-0.2617,LOSS,588.72
2026-05-04 15:17:54 CST,2026-05-05 05:15:22 CST,SKYAIUSDT,LONG,0.62042478,0.52056,10.0,-0.2165,LOSS,837.47
2026-05-04 15:17:54 CST,2026-05-05 06:46:29 CST,SKYAIUSDT,LONG,0.5552249,0.55248,16.0,0.8037,WIN,928.59
2026-05-04 15:17:54 CST,2026-05-05 06:47:41 CST,SKYAIUSDT,LONG,0.5552249,0.57454,12.0,0.0,BREAKEVEN,929.78
2026-05-04 15:17:54 CST,2026-05-05 07:01:04 CST,SKYAIUSDT,SHORT,0.57132082,0.59846,1.0,-0.0239,LOSS,943.17
2026-05-04 15:17:54 CST,2026-05-05 07:15:11 CST,SKYAIUSDT,LONG,0.592044,0.62488,16.0,0.0,BREAKEVEN,957.29
2026-05-04 15:17:54 CST,2026-05-05 07:57:40 CST,SKYAIUSDT,LONG,0.63619238,0.66249,8.0,0.0,BREAKEVEN,999.77
2026-05-04 15:17:54 CST,2026-05-05 09:47:41 CST,SKYAIUSDT,LONG,0.64792862,0.68076,8.0,0.0,BREAKEVEN,1109.79
2026-05-04 15:17:54 CST,2026-05-05 10:10:12 CST,SKYAIUSDT,LONG,0.67352533,0.73577,9.0,0.0,BREAKEVEN,1132.31
2026-05-04 15:17:54 CST,2026-05-05 11:02:41 CST,SKYAIUSDT,LONG,0.71613162,0.81129,7.0,0.0,BREAKEVEN,1184.79
2026-05-04 15:17:54 CST,2026-05-05 19:15:13 CST,SKYAIUSDT,LONG,0.72460584,0.75404,7.0,0.0,BREAKEVEN,1677.33
2026-05-04 15:17:54 CST,2026-05-05 20:32:41 CST,SKYAIUSDT,LONG,0.74460723,0.78746,10.0,0.0,BREAKEVEN,1754.79
2026-05-04 15:17:54 CST,2026-05-05 23:10:10 CST,SKYAIUSDT,LONG,0.7658276,0.80245,8.0,0.0,BREAKEVEN,1912.28
2026-05-04 15:17:54 CST,2026-05-05 23:57:42 CST,SKYAIUSDT,LONG,0.79304756,0.84722,6.0,0.0,BREAKEVEN,1959.81
2026-05-04 15:17:54 CST,2026-05-06 02:10:52 CST,SKYAIUSDT,LONG,0.7675915,0.79605,8.0,0.579,WIN,2092.97
2026-05-04 15:17:54 CST,2026-05-06 02:17:41 CST,SKYAIUSDT,LONG,0.7675915,0.81369,9.0,0.0,BREAKEVEN,2099.79
2026-05-04 15:17:54 CST,2026-05-06 06:30:52 CST,SKYAIUSDT,LONG,0.74711259,0.8123,13.0,0.96,WIN,2352.97
2026-05-04 15:17:54 CST,2026-05-06 06:32:40 CST,SKYAIUSDT,LONG,0.74711259,0.80233,12.0,0.0,BREAKEVEN,2354.78
2026-05-04 15:17:54 CST,2026-05-06 09:52:42 CST,SKYAIUSDT,LONG,0.78051111,0.81528,9.0,0.0,BREAKEVEN,2554.8
2026-05-04 15:17:54 CST,2026-05-06 09:52:42 CST,SKYAIUSDT,LONG,0.78051111,0.81528,3.0,0.0,BREAKEVEN,2554.8
2026-05-04 15:17:54 CST,2026-05-06 11:52:41 CST,SKYAIUSDT,LONG,0.80111048,0.82011,7.0,0.0,BREAKEVEN,2674.79
2026-05-04 15:17:54 CST,2026-05-06 17:19:50 CST,SKYAIUSDT,LONG,0.76476431,0.7097,13.0,-0.3936,LOSS,3001.93
2026-05-04 15:17:54 CST,2026-05-06 17:32:42 CST,SKYAIUSDT,LONG,0.76476431,0.77044,12.0,0.0,BREAKEVEN,3014.81
2026-05-04 15:17:54 CST,2026-05-06 22:47:41 CST,SKYAIUSDT,LONG,0.77196756,0.77392,9.0,0.0,BREAKEVEN,3329.79
2026-05-04 15:17:54 CST,2026-05-07 01:10:37 CST,SKYAIUSDT,LONG,0.72521831,0.6718,14.0,-0.4451,LOSS,3472.72
2026-05-04 15:17:54 CST,2026-05-07 04:05:13 CST,SKYAIUSDT,LONG,0.72521831,0.6449,15.0,0.0,BREAKEVEN,3647.32
2026-05-04 15:17:54 CST,2026-05-07 04:55:03 CST,SKYAIUSDT,SHORT,0.72521831,0.67148,3.0,-0.0797,LOSS,3697.15
2026-05-04 15:17:54 CST,2026-05-07 05:07:41 CST,SKYAIUSDT,LONG,0.68223566,0.66171,15.0,0.0,BREAKEVEN,3709.79
2026-05-04 15:17:54 CST,2026-05-07 11:06:45 CST,SKYAIUSDT,LONG,0.59386774,0.56737,16.0,-0.3989,LOSS,4068.85
2026-05-04 15:17:54 CST,2026-05-07 11:47:15 CST,SKYAIUSDT,LONG,0.57774469,0.61652,14.0,0.7847,WIN,4109.36
2026-05-04 15:17:54 CST,2026-05-07 12:32:42 CST,SKYAIUSDT,LONG,0.57774469,0.63282,10.0,0.0,BREAKEVEN,4154.81
2026-05-04 15:17:54 CST,2026-05-07 15:12:36 CST,SKYAIUSDT,LONG,0.57035717,0.56616,10.0,-0.018,LOSS,4314.7
2026-05-04 15:17:54 CST,2026-05-07 15:12:36 CST,SKYAIUSDT,LONG,0.57035717,0.5661,2.0,-0.0037,LOSS,4314.7
