symbol,timestamp,datetime,direction,move_pct,low,high,rsi,bb_pct_b,zscore,volume_ratio,funding_rate,sma_slope_pct
ZECUSDT,1775595600000,2026-04-07 22:00,UP,15.611113118248483,276.79,320.0,77.17879604672078,0.7392849950690162,0.9571399802760623,0.8203126604937034,5.25e-06,0.06467229248183896
ZECUSDT,1775757600000,2026-04-09 19:00,UP,17.654836673979027,332.77,391.52,65.93886462882098,0.8885687741643252,1.5542750966573071,1.7625180674249799,5.25e-06,0.12785619715171515
ONTUSDT,1774396800000,2026-03-25 01:00,UP,30.120481927710845,0.0581,0.0756,34.69387755102049,-0.01890604884066592,-2.075624195362663,4.739526383655362,5e-05,0.03914672375564898
ONTUSDT,1774483200000,2026-03-26 01:00,UP,13.94148020654044,0.0581,0.0662,43.750000000000064,0.7400080926859586,0.9600323707438327,6.965672849259167,5e-05,0.010827363129475291
ONTUSDT,1774569600000,2026-03-27 01:00,DOWN,12.280701754385966,0.0513,0.0576,79.24528301886795,1.470223402771587,3.880893611086349,16.414232239810232,5e-05,0.036131395011273805
ONTUSDT,1774674000000,2026-03-28 06:00,UP,17.64705882352942,0.0527,0.062,87.27272727272728,0.9196221098771997,1.6784884395087971,9.511742296215028,5e-05,0.11533874709415472
ONTUSDT,1774828800000,2026-03-30 01:00,UP,57.24137931034482,0.058,0.0912,55.000000000000036,0.3425369854887613,-0.629852058044953,16.498271082659247,5e-05,0.0014964459408992785
ONTUSDT,1774886400000,2026-03-30 17:00,UP,17.015706806282722,0.0764,0.0894,84.32835820895527,1.2957905949764819,3.183162379905929,10.454252325360928,5e-05,0.13847035426568544
ONTUSDT,1774918800000,2026-03-31 02:00,DOWN,12.137203166226913,0.0758,0.085,38.793103448275865,0.15740457837812763,-1.3703816864874863,0.4190360945907282,5e-05,0.09223775379107457
ONTUSDT,1774994400000,2026-03-31 23:00,UP,18.335500650195062,0.0769,0.091,98.49624060150393,1.537763636736756,4.1510545469470275,31.218259886407523,5e-05,0.06324376887746366
